model,scene_label,truth,run,load_ms,local_ms,local_risk,yolo_ms,llm_ms,total_ms,yolo_objects,yolo_type,clip_label,clip_risk,clip_conf,detected_risk,risk_correct,quality_score,input_tokens,output_tokens,cost_usd,reply,error
gpt4o,blocked_lens,hazard,3,0.61,37.28,hazard,288.05,2351.7,2677.6,0,yolo-world,disabled,disabled,0.0,caution,0,4,730,68,0.00467,"Description: The image appears to be very dark with significant noise, making it difficult to discern any objects or details.
Sensor note: Consistent with the local detector's advisory of low brightness.
Proximity: Unable to visually estimate proximity due to darkness; no depth_m data available.
Risk: Caution
Pilot suggested action: HOVER",
gpt4o_mini,blocked_lens,hazard,3,0.61,37.28,hazard,288.05,3794.3,4120.2,0,yolo-world,disabled,disabled,0.0,hazard,1,5,3497,97,0.000583,"Description: The image appears to be dark and grainy, with no discernible objects or features visible. The lack of clarity suggests a low-light environment, which may obscure potential hazards. 

Sensor note: consistent; local detector indicates low brightness, and no YOLO detections were made.

Proximity: Based on the low brightness and lack of visible objects, I estimate that there are no objects or persons within 1 meter.

Risk: caution

Pilot suggested action: HOVER",
gemini,blocked_lens,hazard,3,0.61,37.28,hazard,288.05,1878.6,2204.5,0,yolo-world,disabled,disabled,0.0,hazard,1,5,953,105,0.000103,"Description: The image is completely obscured by heavy visual noise, appearing as static or a heavily pixelated, dark green and red pattern. No discernible objects or features are visible.
Sensor note: The local detector reports a dark scene (brightness=35/255), which is consistent with the visually obscured and dark image. YOLO detections are none, which is also consistent as nothing is visible.
Proximity: Cannot determine proximity due to complete visual obstruction.
Risk: hazard
Pilot suggested action: HOVER",
claude,blocked_lens,hazard,4,0.61,30.59,hazard,287.02,8661.3,8979.5,0,yolo-world,disabled,disabled,0.0,hazard,1,4,910,248,0.00645,"Description: The image shows severe visual noise/static — the camera feed appears to be completely corrupted, displaying only random green, blue, and red pixel noise with no discernible scene content. This is consistent with a lens obstruction, camera hardware failure, or complete signal loss.
Sensor note: YOLO detections report none, which is consistent with an unreadable/corrupted image. Local detector reports low brightness (35/255), consistent with possible obstruction. However, the noise pattern suggests camera failure rather than simply a dark scene.
Proximity: Unable to determine — camera feed is non-functional; no depth or spatial information can be extracted from this image. Closest object distance is unknown and unverifiable.
Risk: hazard
Pilot suggested action: LAND

**Reasoning:** A corrupted or obstructed camera feed constitutes a critical safety hazard. With no usable visual input, Tier 3 cognitive reasoning cannot perform its safety function. The drone is effectively ""blind"" — any forward motion risks collision with undetected obstacles or persons. Immediate controlled landing is the safest response to preserve hardware and human safety.",
gpt4o,blocked_lens,hazard,4,0.61,30.59,hazard,287.02,3577.3,3895.5,0,yolo-world,disabled,disabled,0.0,caution,0,4,730,68,0.00467,"Description: The image appears to be very dark with significant noise, making it difficult to discern any objects or details.
Sensor note: Consistent with the local detector's advisory of low brightness.
Proximity: Unable to visually estimate proximity due to darkness; no depth_m data available.
Risk: Caution
Pilot suggested action: HOVER",
gpt4o_mini,blocked_lens,hazard,4,0.61,30.59,hazard,287.02,3791.5,4109.7,0,yolo-world,disabled,disabled,0.0,hazard,1,5,3497,106,0.000588,"Description: The image appears to be dark and grainy, with no discernible objects or features visible. The lack of clarity suggests a low-light environment, which may obscure potential hazards. 

Sensor note: consistent; local detector indicates low brightness, and no YOLO detections were made.

Proximity: Given the dark conditions, I cannot visually estimate the proximity of any objects or persons, but the depth data suggests potential obstacles could be present within 1-2 meters.

Risk: caution

Pilot suggested action: HOVER",
gemini,blocked_lens,hazard,4,0.61,30.59,hazard,287.02,2088.1,2406.3,0,yolo-world,disabled,disabled,0.0,hazard,1,5,953,105,0.000103,"Description: The image is completely obscured by heavy visual noise, appearing as static or a heavily pixelated, dark green and red pattern. No discernible objects or features are visible.
Sensor note: The local detector reports a dark scene (brightness=35/255), which is consistent with the visually obscured and dark image. YOLO detections are none, which is also consistent as nothing is visible.
Proximity: Cannot determine proximity due to complete visual obstruction.
Risk: hazard
Pilot suggested action: HOVER",
claude,blocked_lens,hazard,5,0.57,31.04,hazard,288.44,7289.7,7609.8,0,yolo-world,disabled,disabled,0.0,hazard,1,5,910,208,0.00585,"Description: The image shows heavy visual noise/static — a green-dominant randomized pixel pattern with dark vignetting at the edges, suggesting the camera feed is corrupted, obscured, or the lens is fully covered/malfunctioning.
Sensor note: YOLO detections return none, consistent with a corrupted/blocked feed. Local detector reports low brightness (35/255), consistent with dark edges observed, but the core issue is the noisy static pattern indicating a non-functional camera feed rather than a normal dark scene.
Proximity: Cannot determine — camera feed is corrupted or lens is fully occluded; no reliable spatial information available.
Risk: hazard
Pilot suggested action: LAND

**Reasoning:** A fully corrupted or covered camera feed eliminates Tier 3 cognitive oversight entirely. Operating blind at altitude violates the fundamental safety contract of this architecture. The correct response is immediate controlled landing to prevent unmonitored flight.",
gpt4o,blocked_lens,hazard,5,0.57,31.04,hazard,288.44,2900.6,3220.7,0,yolo-world,disabled,disabled,0.0,hazard,1,5,730,67,0.004655,"Description: The image appears to be filled with static noise, making it difficult to discern any objects or features.
Sensor note: Consistent with the local detector's report of low brightness; no YOLO detections.
Proximity: Unable to visually estimate proximity due to image noise.
Risk: Hazard
Pilot suggested action: HOVER",
gpt4o_mini,blocked_lens,hazard,5,0.57,31.04,hazard,288.44,3584.0,3904.1,0,yolo-world,disabled,disabled,0.0,hazard,1,5,3497,92,0.00058,"Description: The image appears to be dark and grainy, with no discernible objects or features visible. The low brightness suggests a lack of clear visual information, making it difficult to assess the environment accurately. 

Sensor note: consistent, but the low brightness indicates potential hazards not detected by sensors. 

Proximity: Unable to visually estimate proximity due to darkness; depth_m is unreliable in this condition. 

Risk: caution 

Pilot suggested action: HOVER",
gemini,blocked_lens,hazard,5,0.57,31.04,hazard,288.44,2154.1,2474.2,0,yolo-world,disabled,disabled,0.0,hazard,1,5,953,105,0.000103,"Description: The image is completely obscured by heavy visual noise, appearing as static or a heavily pixelated, dark green and red pattern. No discernible objects or features are visible.
Sensor note: The local detector reports a dark scene (brightness=35/255), which is consistent with the visually obscured and dark image. YOLO detections are none, which is also consistent as nothing is visible.
Proximity: Cannot determine proximity due to complete visual obstruction.
Risk: hazard
Pilot suggested action: HOVER",
